depth10cm,Year,Yearly Avg Soil Temp (10CM),Yearly Avg Soil Temp (F) 10CM,Month/Year,Monthly Avg Soil Temp (10CM)
1.5,,,,2/2001,
0.8,,,,2/2001,
0.7,,,,2/2001,
0.6,,,,3/2001,
0.7,,,,3/2001,
0.7,,,,3/2001,
0.8,,,,3/2001,
0.7,,,,4/2001,
0.6,,,,4/2001,
1.5,,,,4/2001,
3.9,,,,4/2001,
6.9,,,,5/2001,
7.7,,,,5/2001,
9,,,,5/2001,
9.4,,,,5/2001,
9.8,,,,5/2001,
11,,,,6/2001,
12.7,,,,6/2001,
13,,,,6/2001,
13.8,,,,6/2001,
14.9,,,,7/2001,
15.4,,,,7/2001,
15.9,,,,7/2001,
16.7,,,,7/2001,
16.1,,,,8/2001,
16.9,,,,8/2001,
16.7,,,,8/2001,
16.3,,,,8/2001,
15.9,,,,8/2001,
15.2,,,,9/2001,
14.6,,,,9/2001,
13.7,,,,9/2001,
12.2,,,,9/2001,
11.7,,,,10/2001,
10.4,,,,10/2001,
9.6,,,,10/2001,
7.9,,,,10/2001,
7.3,,,,10/2001,
6.4,,,,11/2001,
5.9,,,,11/2001,
5,,,,11/2001,
4.5,,,,12/2001,
3.8,,,,12/2001,
3.2,,,,12/2001,
2.3,,,,12/2001,
2.4,,,,1/2002,
0.9,,,,1/2002,
1.1,,,,1/2002,
1.2,,,,2/2002,
0.9,,,,2/2002,
0.8,,,,2/2002,
0.9,,,,2/2002,
0.3,,,,3/2002,
0.4,,,,3/2002,
0.4,,,,3/2002,
0.8,,,,3/2002,
0.3,,,,4/2002,
0.5,,,,4/2002,
0.7,,,,4/2002,
0.3,,,,4/2002,
0.8,,,,4/2002,
1.6,,,,5/2002,
2.1,,,,5/2002,
3.7,,,,5/2002,
4.4,,,,5/2002,
5.4,,,,6/2002,
7.6,,,,6/2002,
8.6,,,,6/2002,
11.7,,,,6/2002,
14.7,,,,7/2002,
15.2,,,,7/2002,
15.8,,,,7/2002,
16.3,,,,7/2002,
16.5,,,,8/2002,
15.7,,,,8/2002,
16.3,,,,8/2002,
15.3,,,,8/2002,
15.5,,,,8/2002,
15.7,,,,9/2002,
15.9,,,,9/2002,
14.7,,,,9/2002,
13.4,,,,9/2002,
12.3,,,,10/2002,
10.8,,,,10/2002,
9.6,,,,10/2002,
7.9,,,,10/2002,
7.1,,,,10/2002,
5.9,,,,11/2002,
5.7,,,,11/2002,
5.1,,,,11/2002,
4.3,,,,11/2002,
3.4,,,,12/2002,
2.8,,,,12/2002,
2.5,,,,12/2002,
2.6,,,,12/2002,
2.2,,,,12/2002,
1.6,,,,1/2003,
0.7,,,,1/2003,
0.1,,,,1/2003,
0.7,,,,1/2003,
0.2,,,,2/2003,
0.3,,,,2/2003,
0.5,,,,2/2003,
0,,,,2/2003,
-0.2,,,,3/2003,
0,,,,3/2003,
0.3,,,,3/2003,
0.5,,,,3/2003,
0,,,,4/2003,
0.1,,,,4/2003,
0.4,,,,4/2003,
0.1,,,,4/2003,
0.3,,,,4/2003,
0.2,,,,5/2003,
0,,,,5/2003,
0.4,,,,5/2003,
0.4,,,,5/2003,
1.1,,,,6/2003,
2.3,,,,6/2003,
4.3,,,,6/2003,
7.1,,,,6/2003,
7.2,,,,7/2003,
9.1,,,,7/2003,
10,,,,7/2003,
10.5,,,,7/2003,
12.3,,,,7/2003,
12,,,,8/2003,
12.3,,,,8/2003,
13.1,,,,8/2003,
13,,,,8/2003,
12.4,,,,9/2003,
13.1,,,,9/2003,
11.7,,,,9/2003,
11.4,,,,9/2003,
9.6,,,,10/2003,
9.2,,,,10/2003,
9.1,,,,10/2003,
8.3,,,,10/2003,
6.9,,,,10/2003,
6.6,,,,11/2003,
5.6,,,,11/2003,
4.9,,,,11/2003,
4.1,,,,11/2003,
3.9,,,,12/2003,
3.5,,,,12/2003,
2.7,,,,12/2003,
2.6,,,,12/2003,
2.1,,,,12/2003,
0.9,,,,1/2004,
1.2,,,,1/2004,
0.7,,,,1/2004,
-0.2,,,,1/2004,
1,,,,2/2004,
0.7,,,,2/2004,
0.9,,,,2/2004,
0.8,,,,2/2004,
1,,,,3/2004,
0.8,,,,3/2004,
1.2,,,,3/2004,
0.7,,,,4/2004,
0.8,,,,4/2004,
1.2,,,,4/2004,
2.2,,,,4/2004,
3.1,,,,5/2004,
5,,,,5/2004,
5.4,,,,5/2004,
5.7,,,,5/2004,
7.1,,,,6/2004,
8.6,,,,6/2004,
9.8,,,,6/2004,
9.7,,,,6/2004,
10,,,,6/2004,
11.2,,,,7/2004,
13,,,,7/2004,
13.5,,,,7/2004,
14,,,,7/2004,
13.6,,,,8/2004,
13,,,,8/2004,
13.2,,,,8/2004,
12.1,,,,8/2004,
13.5,,,,9/2004,
14.1,,,,9/2004,
14.5,,,,9/2004,
14.2,,,,9/2004,
11.7,,,,9/2004,
9.2,,,,10/2004,
9.9,,,,10/2004,
7.2,,,,10/2004,
7.3,,,,10/2004,
6.6,,,,11/2004,
4.7,,,,11/2004,
2.3,,,,11/2004,
1.6,,,,11/2004,
0.5,,,,12/2004,
0.7,,,,12/2004,
0.7,,,,12/2004,
0.5,,,,12/2004,
0.6,,,,12/2004,
-0.8,,,,1/2005,
0,,,,1/2005,
-0.1,,,,1/2005,
-0.1,,,,1/2005,
0,,,,2/2005,
-0.2,,,,2/2005,
-0.3,,,,2/2005,
0,,,,2/2005,
0.2,,,,3/2005,
0.1,,,,3/2005,
-0.3,,,,3/2005,
-0.4,,,,3/2005,
0.9,,,,4/2005,
5.5,,,,4/2005,
4.4,,,,4/2005,
4.8,,,,5/2005,
7.6,,,,5/2005,
8.1,,,,5/2005,
11.3,,,,5/2005,
12.4,,,,6/2005,
13.7,,,,6/2005,
14.5,,,,6/2005,
17.2,,,,6/2005,
17.2,,,,6/2005,
16.9,,,,7/2005,
19.3,,,,7/2005,
18.9,,,,7/2005,
17.5,,,,7/2005,
19.5,,,,8/2005,
18.5,,,,8/2005,
15.9,,,,8/2005,
15.6,,,,8/2005,
14.6,,,,9/2005,
14.6,,,,9/2005,
15.5,,,,9/2005,
14.7,,,,9/2005,
12.1,,,,9/2005,
13.3,,,,10/2005,
9,,,,10/2005,
8.6,,,,10/2005,
6.7,,,,10/2005,
7,,,,11/2005,
5.9,,,,11/2005,
3.6,,,,11/2005,
3.2,,,,11/2005,
1.3,,,,12/2005,
0.3,,,,12/2005,
1.4,,,,12/2005,
0.5,,,,12/2005,
1,,,,12/2005,
0.8,,,,1/2006,
1.1,,,,1/2006,
0.6,,,,1/2006,
0.6,,,,1/2006,
0.6,,,,2/2006,
0.4,,,,2/2006,
0.1,,,,2/2006,
0.2,,,,2/2006,
0.3,,,,3/2006,
0.3,,,,3/2006,
0,,,,3/2006,
0.2,,,,3/2006,
0.3,,,,3/2006,
0.5,,,,4/2006,
6,,,,4/2006,
6.8,,,,4/2006,
7,,,,4/2006,
8.7,,,,5/2006,
10.2,,,,5/2006,
11,,,,5/2006,
12.2,,,,5/2006,
15.5,,,,6/2006,
16.1,,,,6/2006,
16.2,,,,6/2006,
16.5,,,,6/2006,
16.2,,,,6/2006,
17.3,,,,7/2006,
17.6,,,,7/2006,
18.5,,,,7/2006,
18,,,,7/2006,
19.3,,,,8/2006,
15.8,,,,8/2006,
15.4,,,,8/2006,
15.2,,,,8/2006,
15.2,,,,8/2006,
14.1,,,,9/2006,
12.5,,,,9/2006,
10.3,,,,9/2006,
10.4,,,,9/2006,
8.8,,,,10/2006,
6.2,,,,10/2006,
5.7,,,,10/2006,
4.2,,,,10/2006,
2.8,,,,11/2006,
4.9,,,,11/2006,
2.8,,,,11/2006,
1.5,,,,11/2006,
0.4,,,,11/2006,
-1.3,,,,12/2006,
-0.6,,,,12/2006,
-1.2,,,,12/2006,
-1.4,,,,12/2006,
-1,,,,1/2007,
-3.1,,,,1/2007,
-4.9,,,,1/2007,
-4.2,,,,1/2007,
-3.6,,,,1/2007,
-6.4,,,,2/2007,
-5.6,,,,2/2007,
-3.4,,,,2/2007,
-1.7,,,,2/2007,
-1.9,,,,3/2007,
-0.6,,,,3/2007,
-0.9,,,,3/2007,
-0.6,,,,3/2007,
-0.6,,,,4/2007,
-0.5,,,,4/2007,
-0.6,,,,4/2007,
0.2,,,,4/2007,
1.3,,,,5/2007,
2.6,,,,5/2007,
2.8,,,,5/2007,
6,,,,5/2007,
7.2,,,,5/2007,
5.8,,,,6/2007,
10.4,,,,6/2007,
11.7,,,,6/2007,
14.1,,,,6/2007,
13.9,,,,7/2007,
15.2,,,,7/2007,
14.3,,,,7/2007,
17.5,,,,7/2007,
18.1,,,,8/2007,
16,,,,8/2007,
14.2,,,,8/2007,
14.8,,,,8/2007,
12.9,,,,8/2007,
18.1,,,,9/2007,
10.9,,,,9/2007,
9.7,,,,9/2007,
11.5,,,,9/2007,
11.2,,,,10/2007,
9.1,,,,10/2007,
9.6,,,,10/2007,
6.1,,,,10/2007,
5.9,,,,10/2007,
3.7,,,,11/2007,
3,,,,11/2007,
1.6,,,,11/2007,
0.3,,,,11/2007,
-0.4,,,,12/2007,
-0.7,,,,12/2007,
-0.8,,,,12/2007,
-0.4,,,,12/2007,
-0.1,,,,1/2008,
-1.1,,,,1/2008,
-1.1,,,,1/2008,
-1.7,,,,1/2008,
-1.8,,,,1/2008,
-1.7,,,,2/2008,
-1.7,,,,2/2008,
-1.5,,,,2/2008,
-1.2,,,,2/2008,
-1,,,,3/2008,
-0.4,,,,3/2008,
-0.8,,,,3/2008,
-1,,,,3/2008,
-0.8,,,,4/2008,
-0.6,,,,4/2008,
-0.6,,,,4/2008,
-0.1,,,,4/2008,
1,,,,4/2008,
6.2,,,,5/2008,
4.5,,,,5/2008,
8.3,,,,5/2008,
9.7,,,,5/2008,
9.8,,,,6/2008,
11.4,,,,6/2008,
11.9,,,,6/2008,
15.2,,,,6/2008,
15.7,,,,7/2008,
15.4,,,,7/2008,
13.5,,,,7/2008,
15.5,,,,7/2008,
15,,,,7/2008,
14.8,,,,8/2008,
14.7,,,,8/2008,
13.8,,,,8/2008,
13.1,,,,8/2008,
12.5,,,,9/2008,
11.6,,,,9/2008,
10.4,,,,9/2008,
11.6,,,,9/2008,
10.1,,,,9/2008,
8.7,,,,10/2008,
8.5,,,,10/2008,
6,,,,10/2008,
5.8,,,,10/2008,
5,,,,11/2008,
3.1,,,,11/2008,
2.8,,,,11/2008,
0.5,,,,11/2008,
-0.7,,,,12/2008,
-1.1,,,,12/2008,
-1.3,,,,12/2008,
-1.2,,,,12/2008,
-1.8,,,,12/2008,
-1.1,,,,1/2009,
-1.5,,,,1/2009,
-1,,,,1/2009,
-1.3,,,,1/2009,
-0.9,,,,2/2009,
-0.8,,,,2/2009,
-1.5,,,,2/2009,
-0.8,,,,2/2009,
-0.9,,,,3/2009,
-1.4,,,,3/2009,
-0.4,,,,3/2009,
-0.6,,,,3/2009,
-0.4,,,,4/2009,
-0.5,,,,4/2009,
-0.6,,,,4/2009,
2.2,,,,4/2009,
3.9,,,,4/2009,
7.6,,,,5/2009,
8.2,,,,5/2009,
10.3,,,,5/2009,
9.7,,,,5/2009,
9.1,,,,6/2009,
9.7,,,,6/2009,
12.2,,,,6/2009,
14.3,,,,6/2009,
13,,,,7/2009,
13.1,,,,7/2009,
13.5,,,,7/2009,
13.6,,,,7/2009,
14,,,,7/2009,
13.4,,,,8/2009,
15.6,,,,8/2009,
14.8,,,,8/2009,
14.7,,,,8/2009,
12.7,,,,9/2009,
14.2,,,,9/2009,
14.5,,,,9/2009,
12.9,,,,9/2009,
9,,,,9/2009,
9.2,,,,10/2009,
5.2,,,,10/2009,
5.4,,,,10/2009,
6.6,,,,10/2009,
4.6,,,,11/2009,
4.1,,,,11/2009,
2.9,,,,11/2009,
2,,,,11/2009,
1.5,,,,12/2009,
-0.6,,,,12/2009,
-1.3,,,,12/2009,
-0.9,,,,12/2009,
-1.4,,,,12/2009,
-1.8,,,,1/2010,
-1,,,,1/2010,
-1,,,,1/2010,
-1.6,,,,1/2010,
-1.5,,,,2/2010,
-0.5,,,,2/2010,
-1.1,,,,2/2010,
-1.9,,,,2/2010,
-0.7,,,,3/2010,
-0.5,,,,3/2010,
-0.3,,,,3/2010,
-0.4,,,,3/2010,
0,,,,3/2010,
-0.7,,,,4/2010,
-0.1,,,,4/2010,
0.5,,,,4/2010,
0.4,,,,4/2010,
2.5,,,,5/2010,
3.5,,,,5/2010,
6.5,,,,5/2010,
10,,,,5/2010,
9.4,,,,6/2010,
9.9,,,,6/2010,
11.6,,,,6/2010,
13.7,,,,6/2010,
13,,,,7/2010,
15.2,,,,7/2010,
15,,,,7/2010,
17.3,,,,7/2010,
15.5,,,,7/2010,
16.4,,,,8/2010,
17,,,,8/2010,
15.5,,,,8/2010,
15.8,,,,8/2010,
16.2,,,,9/2010,
13.1,,,,9/2010,
12.7,,,,9/2010,
11.2,,,,9/2010,
10.8,,,,9/2010,
9.6,,,,10/2010,
9.8,,,,10/2010,
7.6,,,,10/2010,
7.9,,,,10/2010,
5.7,,,,11/2010,
5.6,,,,11/2010,
4.1,,,,11/2010,
2.2,,,,11/2010,
2,,,,12/2010,
1.5,,,,12/2010,
1.3,,,,12/2010,
0.1,,,,12/2010,
1,,,,12/2010,
0.3,,,,1/2011,
0.6,,,,1/2011,
-0.6,,,,1/2011,
0.4,,,,1/2011,
-0.6,,,,3/2011,
0.3,,,,3/2011,
0.4,,,,3/2011,
-0.2,,,,3/2011,
0.4,,,,3/2011,
0.3,,,,4/2011,
3.2,,,,4/2011,
2.4,,,,4/2011,
4,,,,4/2011,
5.6,,,,5/2011,
8.5,,,,5/2011,
8.7,,,,5/2011,
9.9,,,,5/2011,
11.2,,,,6/2011,
12.7,,,,6/2011,
12.7,,,,6/2011,
14.2,,,,6/2011,
15,,,,6/2011,
16.8,,,,7/2011,
17.3,,,,7/2011,
19,,,,7/2011,
19.7,,,,7/2011,
23.1,,,,8/2011,
15.6,,,,8/2011,
19.9,,,,8/2011,
16.7,,,,8/2011,
16.7,,,,8/2011,
14.6,,,,9/2011,
13.5,,,,9/2011,
12,,,,9/2011,
10.7,,,,9/2011,
11,,,,10/2011,
11.7,,,,10/2011,
9.6,,,,10/2011,
7.9,,,,10/2011,
6.7,,,,11/2011,
5.1,,,,11/2011,
3.9,,,,11/2011,
3.1,,,,11/2011,
2.2,,,,11/2011,
0.5,,,,12/2011,
0.6,,,,12/2011,
-0.5,,,,12/2011,
-1,,,,12/2011,
-0.7,,,,1/2012,
-1.1,,,,1/2012,
-2.2,,,,1/2012,
-1.1,,,,1/2012,
-0.8,,,,2/2012,
-1.6,,,,2/2012,
-0.9,,,,2/2012,
-0.8,,,,2/2012,
-1,,,,2/2012,
-1,,,,3/2012,
-0.4,,,,3/2012,
-0.2,,,,3/2012,
-0.6,,,,3/2012,
-0.2,,,,4/2012,
-0.3,,,,4/2012,
-0.3,,,,4/2012,
0,,,,4/2012,
5,,,,5/2012,
6.9,,,,5/2012,
8,,,,5/2012,
10.2,,,,5/2012,
11.4,,,,5/2012,
13.2,,,,6/2012,
13.6,,,,6/2012,
14.3,,,,6/2012,
15.3,,,,6/2012,
17,,,,7/2012,
17,,,,7/2012,
17.9,,,,7/2012,
17.9,,,,7/2012,
17.5,,,,7/2012,
16.7,,,,8/2012,
15.5,,,,8/2012,
14.5,,,,8/2012,
14.9,,,,8/2012,
14.9,,,,9/2012,
13.7,,,,9/2012,
10.9,,,,9/2012,
9.3,,,,9/2012,
9,,,,10/2012,
7.3,,,,10/2012,
8,,,,10/2012,
8.7,,,,10/2012,
5.3,,,,10/2012,
4.8,,,,11/2012,
4.4,,,,11/2012,
3.3,,,,11/2012,
2.2,,,,11/2012,
1.9,,,,12/2012,
0,,,,12/2012,
0.3,,,,12/2012,
-0.8,,,,12/2012,
0.6,,,,1/2013,
-0.3,,,,1/2013,
-0.9,,,,1/2013,
-1.9,,,,1/2013,
-2.1,,,,1/2013,
-0.9,,,,2/2013,
-0.8,,,,2/2013,
-0.8,,,,2/2013,
-0.2,,,,2/2013,
-0.9,,,,3/2013,
-1.2,,,,3/2013,
-0.7,,,,3/2013,
0,,,,3/2013,
-0.5,,,,4/2013,
-0.7,,,,4/2013,
-0.6,,,,4/2013,
-0.4,,,,4/2013,
-0.3,,,,5/2013,
5.1,,,,5/2013,
6.8,,,,5/2013,
8.2,,,,5/2013,
11.1,,,,5/2013,
10.9,,,,6/2013,
12.1,,,,6/2013,
12.6,,,,6/2013,
14.8,,,,6/2013,
14.9,,,,7/2013,
16,,,,7/2013,
16.9,,,,7/2013,
16.2,,,,7/2013,
15.3,,,,7/2013,
14.5,,,,8/2013,
13.5,,,,8/2013,
15.6,,,,8/2013,
16.3,,,,8/2013,
14.9,,,,9/2013,
14.7,,,,9/2013,
12.6,,,,9/2013,
11.9,,,,9/2013,
11.6,,,,10/2013,
10.1,,,,10/2013,
9,,,,10/2013,
6.9,,,,10/2013,
5.8,,,,10/2013,
5.3,,,,11/2013,
3.8,,,,11/2013,
3.9,,,,11/2013,
1.5,,,,11/2013,
1,,,,12/2013,
0.1,,,,12/2013,
0.7,,,,12/2013,
0.1,,,,12/2013,
-0.7,,,,12/2013,
-0.9,,,,1/2014,
-0.5,,,,1/2014,
-0.9,,,,1/2014,
-0.9,,,,1/2014,
-1.4,,,,2/2014,
-0.9,,,,2/2014,
-0.4,,,,2/2014,
-1.2,,,,2/2014,
-0.7,,,,3/2014,
-0.7,,,,3/2014,
-0.4,,,,3/2014,
-0.4,,,,3/2014,
-0.2,,,,4/2014,
0,,,,4/2014,
-0.7,,,,4/2014,
1.3,,,,4/2014,
1.1,,,,5/2014,
3.2,,,,5/2014,
6,,,,5/2014,
8.3,,,,5/2014,
11.3,,,,5/2014,
12.6,,,,6/2014,
12.5,,,,6/2014,
14.2,,,,6/2014,
15.8,,,,6/2014,
16.8,,,,7/2014,
17.2,,,,7/2014,
11.1,,,,7/2014,
17.8,,,,7/2014,
16.8,,,,7/2014,
15.9,,,,8/2014,
16,,,,8/2014,
15.8,,,,8/2014,
15.5,,,,8/2014,
15,,,,9/2014,
14.1,,,,9/2014,
11.7,,,,9/2014,
12.1,,,,9/2014,
12.1,,,,10/2014,
9.6,,,,10/2014,
8.9,,,,10/2014,
8.4,,,,10/2014,
7.7,,,,10/2014,
6,,,,11/2014,
5.5,,,,11/2014,
3,,,,11/2014,
1.7,,,,11/2014,
0.4,,,,12/2014,
0.9,,,,12/2014,
0.3,,,,12/2014,
0.5,,,,12/2014,
-0.6,,,,12/2014,
-2,,,,1/2015,
-1.1,,,,1/2015,
-1.1,,,,1/2015,
-0.8,,,,1/2015,
-2.2,,,,2/2015,
-2.2,,,,2/2015,
-2.7,,,,2/2015,
-2.1,,,,2/2015,
-2.2,,,,3/2015,
-0.5,,,,3/2015,
-0.5,,,,3/2015,
-0.9,,,,3/2015,
-0.5,,,,4/2015,
-0.5,,,,4/2015,
-0.1,,,,4/2015,
-0.5,,,,4/2015,
-0.4,,,,4/2015,
-0.1,,,,5/2015,
-0.5,,,,5/2015,
-0.1,,,,5/2015,
4.2,,,,5/2015,
6.4,,,,6/2015,
9,,,,6/2015,
9.6,,,,6/2015,
10.2,,,,6/2015,
11.4,,,,7/2015,
12,,,,7/2015,
13.5,,,,7/2015,
13.5,,,,7/2015,
14.5,,,,7/2015,
12.6,,,,8/2015,
14.2,,,,8/2015,
13.5,,,,8/2015,
12.3,,,,8/2015,
13.6,,,,9/2015,
14.5,,,,9/2015,
13.7,,,,9/2015,
12.5,,,,9/2015,
11.6,,,,9/2015,
9.8,,,,10/2015,
9.6,,,,10/2015,
8,,,,10/2015,
7.1,,,,10/2015,
7.2,,,,11/2015,
6.5,,,,11/2015,
6.4,,,,11/2015,
2.2,,,,12/2015,
2.1,,,,12/2015,
1.7,,,,12/2015,
1.5,,,,12/2015,
0.7,,,,12/2015,
0.6,,,,1/2016,
-0.5,,,,1/2016,
-1,,,,1/2016,
-0.3,,,,1/2016,
-0.5,,,,2/2016,
-1,,,,2/2016,
-1,,,,2/2016,
-0.7,,,,2/2016,
-0.3,,,,3/2016,
-0.5,,,,3/2016,
-0.5,,,,3/2016,
-0.2,,,,3/2016,
-0.2,,,,3/2016,
-0.2,,,,4/2016,
0.1,,,,4/2016,
3.5,,,,4/2016,
5.3,,,,4/2016,
5.9,,,,5/2016,
7.1,,,,5/2016,
6.6,,,,5/2016,
9.3,,,,5/2016,
9.8,,,,6/2016,
10,,,,6/2016,
11.2,,,,6/2016,
12.7,,,,6/2016,
12.7,,,,6/2016,
13.7,,,,7/2016,
14.9,,,,7/2016,
15.1,,,,7/2016,
16.2,,,,7/2016,
16.4,,,,8/2016,
16.3,,,,8/2016,
16.1,,,,8/2016,
15.4,,,,8/2016,
15.4,,,,8/2016,
15.4,,,,9/2016,
14.1,,,,9/2016,
13,,,,9/2016,
12.7,,,,9/2016,
12.4,,,,10/2016,
10.7,,,,10/2016,
10,,,,10/2016,
7.8,,,,10/2016,
8.4,,,,11/2016,
7.6,,,,11/2016,
6.5,,,,11/2016,
5.5,,,,11/2016,
4,,,,11/2016,
3.6,,,,12/2016,
2.2,,,,12/2016,
1.9,,,,12/2016,
1.6,,,,12/2016,
3.3,,,,1/2017,
0,,,,1/2017,
0.5,,,,1/2017,
0.3,,,,1/2017,
0.1,,,,2/2017,
0.4,,,,2/2017,
0.5,,,,2/2017,
0.2,,,,3/2017,
-0.7,,,,3/2017,
-0.1,,,,3/2017,
-0.5,,,,3/2017,
0.1,,,,3/2017,
0.5,,,,4/2017,
2.8,,,,4/2017,
4.9,,,,4/2017,
5,,,,4/2017,
5.9,,,,5/2017,
8.6,,,,5/2017,
9.7,,,,5/2017,
8.6,,,,5/2017,
10.1,,,,5/2017,
12.3,,,,6/2017,
14,,,,6/2017,
14.2,,,,6/2017,
14,,,,6/2017,
16,,,,7/2017,
15.9,,,,7/2017,
16.1,,,,7/2017,
16.5,,,,7/2017,
16.9,,,,7/2017,
15.8,,,,8/2017,
15.8,,,,8/2017,
15,,,,8/2017,
15.1,,,,8/2017,
14.1,,,,9/2017,
13.7,,,,9/2017,
14.1,,,,9/2017,
14.3,,,,9/2017,
12.9,,,,10/2017,
10.3,,,,10/2017,
9.4,,,,10/2017,
9,,,,10/2017,
7.1,,,,11/2017,
5.3,,,,11/2017,
5,,,,11/2017,
3.6,,,,11/2017,
3.1,,,,11/2017,
2.6,,,,12/2017,
1.2,,,,12/2017,
0.2,,,,12/2017,
-1.5,,,,12/2017,
0,,,,1/2018,
-0.4,,,,1/2018,
-0.8,,,,1/2018,
-0.8,,,,1/2018,
-1.3,,,,1/2018,
-1.6,,,,2/2018,
-0.6,,,,2/2018,
-1.2,,,,2/2018,
-1.3,,,,3/2018,
-1.2,,,,3/2018,
-0.8,,,,3/2018,
-0.6,,,,3/2018,
-1,,,,3/2018,
-0.7,,,,4/2018,
-0.8,,,,4/2018,
-0.4,,,,4/2018,
-0.1,,,,4/2018,
0,,,,5/2018,
0.1,,,,5/2018,
1.3,,,,5/2018,
5.2,,,,5/2018,
12,,,,5/2018,
11.4,,,,6/2018,
13.3,,,,6/2018,
15.6,,,,6/2018,
16.7,,,,6/2018,
17,,,,7/2018,
19.3,,,,7/2018,
18.6,,,,7/2018,
18.3,,,,7/2018,
17.3,,,,8/2018,
16.6,,,,8/2018,
17.4,,,,8/2018,
17.6,,,,8/2018,
15.7,,,,8/2018,
15.8,,,,9/2018,
15,,,,9/2018,
14.8,,,,9/2018,
13.5,,,,9/2018,
9.2,,,,10/2018,
7.6,,,,10/2018,
6.7,,,,10/2018,
4.9,,,,11/2018,
4.5,,,,11/2018,
3.2,,,,11/2018,
2.8,,,,11/2018,
1.4,,,,12/2018,
1.9,,,,12/2018,
0.9,,,,12/2018,
0.5,,,,12/2018,
0.7,,,,1/2019,
0.3,,,,1/2019,
0.4,,,,1/2019,
-0.4,,,,1/2019,
-1.2,,,,2/2019,
-0.2,,,,2/2019,
-0.3,,,,2/2019,
-0.3,,,,2/2019,
-0.6,,,,3/2019,
0.1,,,,3/2019,
0.2,,,,3/2019,
0,,,,3/2019,
0,,,,4/2019,
0.1,,,,4/2019,
0,,,,4/2019,
3.2,,,,4/2019,
4.7,,,,5/2019,
6.3,,,,5/2019,
8.7,,,,5/2019,
8.8,,,,5/2019,
10.2,,,,5/2019,
12.5,,,,6/2019,
12.8,,,,6/2019,
12.6,,,,6/2019,
13.7,,,,6/2019,
15.4,,,,7/2019,
16.5,,,,7/2019,
17.6,,,,7/2019,
16.9,,,,7/2019,
16.4,,,,7/2019,
17.3,,,,8/2019,
16.2,,,,8/2019,
15.9,,,,8/2019,
15.1,,,,8/2019,
14.3,,,,9/2019,
13.6,,,,9/2019,
14.4,,,,9/2019,
14,,,,9/2019,
13.1,,,,10/2019,
11,,,,10/2019,
9.7,,,,10/2019,
9,,,,10/2019,
5.7,,,,10/2019,
3.7,,,,11/2019,
2.1,,,,11/2019,
1.9,,,,11/2019,
1.8,,,,11/2019,
1.8,,,,11/2019,
2.5,,,,12/2019,
1,,,,12/2019,
1.3,,,,12/2019,
0.7,,,,12/2019,
0.6,,,,1/2020,
0.3,,,,1/2020,
0.5,,,,1/2020,
0.3,,,,1/2020,
0.3,,,,1/2020,
0.5,,,,2/2020,
0.3,,,,2/2020,
-0.2,,,,2/2020,
0.4,,,,2/2020,
0.6,,,,3/2020,
0.3,,,,3/2020,
0.3,,,,3/2020,
0.4,,,,3/2020,
0.5,,,,3/2020,
0.7,,,,4/2020,
1.8,,,,4/2020,
3.2,,,,4/2020,
7,,,,4/2020,
7.1,,,,5/2020,
6.2,,,,5/2020,
8.3,,,,5/2020,
10.1,,,,5/2020,
10.9,,,,6/2020,
11.8,,,,6/2020,
12.5,,,,6/2020,
13.8,,,,6/2020,
15,,,,6/2020,
16.8,,,,7/2020,
16.6,,,,7/2020,
17,,,,7/2020,
NA,,,,7/2020,
16.6,,,,8/2020,
17.5,,,,8/2020,
18.3,,,,8/2020,
17.1,,,,9/2020,
14.6,,,,9/2020,
12.8,,,,9/2020,
13,,,,9/2020,
11,,,,10/2020,
10.8,,,,10/2020,
7.6,,,,10/2020,
6.5,,,,10/2020,
5.8,,,,11/2020,
4.7,,,,11/2020,
3.6,,,,11/2020,
3.3,,,,11/2020,
1.8,,,,12/2020,
1.8,,,,12/2020,
1,,,,12/2020,
1.1,,,,12/2020,
0.9,,,,12/2020,
0.5,,,,1/2021,
0.6,,,,1/2021,
0.3,,,,1/2021,
1.2,,,,1/2021,
0.5,,,,2/2021,
0.6,,,,2/2021,
-1.7,,,,2/2021,
0,,,,2/2021,
0.4,,,,3/2021,
0,,,,3/2021,
0,,,,3/2021,
-0.2,,,,4/2021,
0,,,,4/2021,
-0.2,,,,4/2021,
0.7,,,,4/2021,
1.6,,,,4/2021,
5.4,,,,5/2021,
5.3,,,,5/2021,
7.6,,,,5/2021,
9.7,,,,5/2021,
10.4,,,,6/2021,
12.9,,,,6/2021,
16.1,,,,7/1989,
15.6,,,,7/1989,
17.2,,,,7/1989,
16.1,,,,8/1989,
15,,,,8/1989,
15,,,,8/1989,
15,,,,8/1989,
14.4,,,,9/1989,
11.1,,,,9/1989,
15,,,,9/1989,
9.4,,,,9/1989,
8.3,,,,10/1989,
7.8,,,,10/1989,
5,,,,10/1989,
9.4,,,,10/1989,
5,,,,11/1989,
4.4,,,,11/1989,
2.2,,,,11/1989,
0.6,,,,11/1989,
0,,,,11/1989,
-0.6,,,,12/1989,
-1.1,,,,12/1989,
-3.3,,,,12/1989,
-3.3,,,,12/1989,
-1.7,,,,1/1990,
-1.1,,,,1/1990,
-1.1,,,,1/1990,
-1.1,,,,1/1990,
-1.1,,,,1/1990,
-1.1,,,,2/1990,
-1.1,,,,2/1990,
